Date,Category,Subcategory,Task,Total
2021/8/20,Health,Sport,Basketball,11/20
2021/9/1,Health,Sport,Basketball,8/16
2021/9/25,Health,Sport,Basketball,90/200
2021/12/4,Health,Sport,Basketball,26/50
2021/12/15,Health,Sport,Basketball,26/60
2022/1/15,Health,Sport,Basketball,52/100
2022/1/23,Health,Sport,Basketball,59/100
2022/6/6,Health,Sport,Basketball,49/100
2022/6/7,Health,Sport,Basketball,50/100
2022/7/13,Health,Sport,Basketball,76/170
2022/7/15,Health,Sport,Basketball,60/100
2022/7/24,Health,Sport,Basketball,141/251
2022/7/28,Health,Sport,Basketball,83/170
2022/10/13,Health,Sport,Basketball,31/55
2022/12/22,Health,Sport,Basketball,43/100
2023/1/6,Health,Sport,Basketball,25/50
2023/2/26,Health,Sport,Basketball,109/231
2023/3/1,Health,Sport,Basketball,18/30
2023/3/2,Health,Sport,Basketball,28/52
2023/3/3,Health,Sport,Basketball,59/121
2023/3/4,Health,Sport,Basketball,55/100
2023/3/5,Health,Sport,Basketball,157/301
2023/3/10,Health,Sport,Basketball,164/325
2023/3/15,Health,Sport,Basketball,28/52
2023/3/19,Health,Sport,Basketball,137/265
2023/3/21,Health,Sport,Basketball,61/100
2023/3/26,Health,Sport,Basketball,87/160
2023/3/29,Health,Sport,Basketball,132/250
2023/3/31,Health,Sport,Basketball,84/160
2023/4/1,Health,Sport,Basketball,53/100
2023/4/2,Health,Sport,Basketball,27/50
2023/4/9,Health,Sport,Basketball,78/133
2023/4/30,Health,Sport,Basketball,24/40
2023/5/9,Health,Sport,Basketball,116/200
2023/5/10,Health,Sport,Basketball,58/100
2023/5/11,Health,Sport,Basketball,53/100
2023/5/14,Health,Sport,Basketball,70/100
2023/5/15,Health,Sport,Basketball,56/100
2023/5/16,Health,Sport,Basketball,39/70
2023/5/17,Health,Sport,Basketball,52/100
2023/5/18,Health,Sport,Basketball,61/108
2023/5/20,Health,Sport,Basketball,40/70
2023/5/21,Health,Sport,Basketball,51/100
2023/5/23,Health,Sport,Basketball,57/110
2023/5/24,Health,Sport,Basketball,52/100
2023/5/27,Health,Sport,Basketball,70/130
2023/5/28,Health,Sport,Basketball,53/100
2023/5/29,Health,Sport,Basketball,63/100
2023/5/30,Health,Sport,Basketball,79/150
2023/5/31,Health,Sport,Basketball,55/100
2023/6/1,Health,Sport,Basketball,105/200
2023/6/3,Health,Sport,Basketball,108/200
2023/6/4,Health,Sport,Basketball,61/100
2023/6/5,Health,Sport,Basketball,27/50
2023/6/10,Health,Sport,Basketball,33/60
2023/6/11,Health,Sport,Basketball,80/140
2023/6/14,Health,Sport,Basketball,59/100
2023/6/22,Health,Sport,Basketball,27/50
2023/7/8,Health,Sport,Basketball,28/50
2023/7/20,Health,Sport,Basketball,30/50
2023/7/21,Health,Sport,Basketball,30/50
2023/7/23,Health,Sport,Basketball,57/100
2023/8/3,Health,Sport,Basketball,29/50
2023/8/4,Health,Sport,Basketball,27/50
2023/8/6,Health,Sport,Basketball,56/100
2023/8/11,Health,Sport,Basketball,55/100
2023/9/2,Health,Sport,Basketball,48/100
2023/10/29,Health,Sport,Basketball,49/100
2023/11/4,Health,Sport,Basketball,54/100
2021/8/8,Health,Resistance Training,Abs,3
2021/8/9,Health,Resistance Training,Abs,4
2021/8/10,Health,Resistance Training,Abs,5
2021/8/12,Health,Resistance Training,Abs,3
2021/8/13,Health,Resistance Training,Abs,4
2021/8/14,Health,Resistance Training,Abs,4
2021/8/15,Health,Resistance Training,Abs,3
2021/8/16,Health,Resistance Training,Abs,3
2021/8/17,Health,Resistance Training,Abs,3
2021/8/18,Health,Resistance Training,Abs,3
2021/8/19,Health,Resistance Training,Abs,3
2021/8/20,Health,Resistance Training,Abs,3
2021/8/21,Health,Resistance Training,Abs,3
2021/8/22,Health,Resistance Training,Abs,3
2021/8/23,Health,Resistance Training,Abs,3
2021/8/24,Health,Resistance Training,Abs,3
2021/8/25,Health,Resistance Training,Abs,3
2021/8/26,Health,Resistance Training,Abs,3
2021/8/27,Health,Resistance Training,Abs,5
2021/8/28,Health,Resistance Training,Abs,3
2021/8/29,Health,Resistance Training,Abs,3
2021/8/30,Health,Resistance Training,Abs,3
2021/8/31,Health,Resistance Training,Abs,3
2021/9/1,Health,Resistance Training,Abs,3
2021/9/2,Health,Resistance Training,Abs,4
2021/9/3,Health,Resistance Training,Abs,3
2021/9/4,Health,Resistance Training,Abs,3
2021/9/5,Health,Resistance Training,Abs,3
2021/9/6,Health,Resistance Training,Abs,3
2021/9/7,Health,Resistance Training,Abs,3
2021/9/8,Health,Resistance Training,Abs,3
2021/9/9,Health,Resistance Training,Abs,3
2021/9/10,Health,Resistance Training,Abs,3
2021/9/11,Health,Resistance Training,Abs,3
2021/9/12,Health,Resistance Training,Abs,3
2021/9/13,Health,Resistance Training,Abs,4
2021/9/14,Health,Resistance Training,Abs,3
2021/9/15,Health,Resistance Training,Abs,3
2021/9/16,Health,Resistance Training,Abs,3
2021/9/17,Health,Resistance Training,Abs,4
2021/9/18,Health,Resistance Training,Abs,3
2021/9/19,Health,Resistance Training,Abs,3
2021/9/20,Health,Resistance Training,Abs,3
2021/9/21,Health,Resistance Training,Abs,3
2021/9/22,Health,Resistance Training,Abs,3
2021/9/23,Health,Resistance Training,Abs,3
2021/9/24,Health,Resistance Training,Abs,3
2021/9/25,Health,Resistance Training,Abs,3
2021/9/26,Health,Resistance Training,Abs,3
2021/9/27,Health,Resistance Training,Abs,3
2021/9/28,Health,Resistance Training,Abs,3
2021/9/29,Health,Resistance Training,Abs,3
2021/9/30,Health,Resistance Training,Abs,3
2021/10/1,Health,Resistance Training,Abs,3
2021/10/2,Health,Resistance Training,Abs,3
2021/10/3,Health,Resistance Training,Abs,3
2021/10/4,Health,Resistance Training,Abs,3
2021/10/5,Health,Resistance Training,Abs,3
2021/10/6,Health,Resistance Training,Abs,5
2021/10/7,Health,Resistance Training,Abs,3
2021/10/8,Health,Resistance Training,Abs,3
2021/10/9,Health,Resistance Training,Abs,3
2021/10/10,Health,Resistance Training,Abs,3
2021/10/11,Health,Resistance Training,Abs,3
2021/10/12,Health,Resistance Training,Abs,3
2021/10/13,Health,Resistance Training,Abs,3
2021/10/14,Health,Resistance Training,Abs,3
2021/10/15,Health,Resistance Training,Abs,3
2021/10/16,Health,Resistance Training,Abs,3
2021/10/17,Health,Resistance Training,Abs,3
2021/10/18,Health,Resistance Training,Abs,3
2021/10/19,Health,Resistance Training,Abs,3
2021/10/20,Health,Resistance Training,Abs,3
2021/10/21,Health,Resistance Training,Abs,3
2021/10/22,Health,Resistance Training,Abs,3
2021/10/23,Health,Resistance Training,Abs,3
2021/10/24,Health,Resistance Training,Abs,3
2021/10/25,Health,Resistance Training,Abs,3
2021/10/26,Health,Resistance Training,Abs,3
2021/10/27,Health,Resistance Training,Abs,3
2021/10/29,Health,Resistance Training,Abs,3
2021/10/30,Health,Resistance Training,Abs,3
2021/10/31,Health,Resistance Training,Abs,3
2021/11/1,Health,Resistance Training,Abs,3
2021/11/2,Health,Resistance Training,Abs,3
2021/11/3,Health,Resistance Training,Abs,3
2021/11/4,Health,Resistance Training,Abs,3
2021/11/5,Health,Resistance Training,Abs,3
2021/11/6,Health,Resistance Training,Abs,3
2021/11/7,Health,Resistance Training,Abs,3
2021/11/8,Health,Resistance Training,Abs,3
2021/11/9,Health,Resistance Training,Abs,3
2021/11/10,Health,Resistance Training,Abs,3
2021/11/11,Health,Resistance Training,Abs,3
2021/11/12,Health,Resistance Training,Abs,3
2021/11/13,Health,Resistance Training,Abs,3
2021/11/14,Health,Resistance Training,Abs,3
2021/11/15,Health,Resistance Training,Abs,3
2021/11/16,Health,Resistance Training,Abs,3
2021/11/17,Health,Resistance Training,Abs,3
2021/11/18,Health,Resistance Training,Abs,3
2021/11/19,Health,Resistance Training,Abs,3
2021/11/20,Health,Resistance Training,Abs,3
2021/11/21,Health,Resistance Training,Abs,3
2021/11/22,Health,Resistance Training,Abs,3
2021/11/23,Health,Resistance Training,Abs,3
2021/11/24,Health,Resistance Training,Abs,3
2021/11/25,Health,Resistance Training,Abs,3
2021/11/26,Health,Resistance Training,Abs,3
2021/11/27,Health,Resistance Training,Abs,3
2021/11/28,Health,Resistance Training,Abs,3
2021/11/29,Health,Resistance Training,Abs,3
2021/11/30,Health,Resistance Training,Abs,3
2021/12/1,Health,Resistance Training,Abs,3
2021/12/2,Health,Resistance Training,Abs,3
2021/12/3,Health,Resistance Training,Abs,3
2021/12/4,Health,Resistance Training,Abs,3
2021/12/5,Health,Resistance Training,Abs,3
2021/12/6,Health,Resistance Training,Abs,3
2021/12/7,Health,Resistance Training,Abs,3
2021/12/8,Health,Resistance Training,Abs,3
2021/12/9,Health,Resistance Training,Abs,3
2021/12/10,Health,Resistance Training,Abs,3
2021/12/11,Health,Resistance Training,Abs,3
2021/12/12,Health,Resistance Training,Abs,3
2021/12/13,Health,Resistance Training,Abs,3
2021/12/14,Health,Resistance Training,Abs,3
2021/12/15,Health,Resistance Training,Abs,3
2021/12/16,Health,Resistance Training,Abs,3
2021/12/17,Health,Resistance Training,Abs,3
2021/12/18,Health,Resistance Training,Abs,3
2021/12/19,Health,Resistance Training,Abs,3
2021/12/20,Health,Resistance Training,Abs,3
2021/12/21,Health,Resistance Training,Abs,3
2021/12/22,Health,Resistance Training,Abs,3
2021/12/23,Health,Resistance Training,Abs,3
2021/12/24,Health,Resistance Training,Abs,3
2021/12/25,Health,Resistance Training,Abs,3
2021/12/26,Health,Resistance Training,Abs,3
2021/12/27,Health,Resistance Training,Abs,3
2021/12/28,Health,Resistance Training,Abs,3
2021/12/29,Health,Resistance Training,Abs,3
2021/12/30,Health,Resistance Training,Abs,3
2021/12/31,Health,Resistance Training,Abs,3
2022/1/1,Health,Resistance Training,Abs,3
2022/1/2,Health,Resistance Training,Abs,3
2022/1/3,Health,Resistance Training,Abs,3
2022/1/4,Health,Resistance Training,Abs,3
2022/1/5,Health,Resistance Training,Abs,3
2022/1/6,Health,Resistance Training,Abs,3
2022/1/7,Health,Resistance Training,Abs,3
2022/1/8,Health,Resistance Training,Abs,3
2022/1/9,Health,Resistance Training,Abs,3
2022/1/10,Health,Resistance Training,Abs,3
2022/1/11,Health,Resistance Training,Abs,3
2022/1/12,Health,Resistance Training,Abs,3
2022/1/13,Health,Resistance Training,Abs,3
2022/1/14,Health,Resistance Training,Abs,3
2022/1/15,Health,Resistance Training,Abs,3
2022/1/16,Health,Resistance Training,Abs,3
2022/1/17,Health,Resistance Training,Abs,3
2022/1/18,Health,Resistance Training,Abs,3
2022/1/19,Health,Resistance Training,Abs,3
2022/1/20,Health,Resistance Training,Abs,3
2022/1/21,Health,Resistance Training,Abs,3
2022/1/22,Health,Resistance Training,Abs,6
2022/1/23,Health,Resistance Training,Abs,3
2022/1/24,Health,Resistance Training,Abs,3
2022/1/25,Health,Resistance Training,Abs,3
2022/1/26,Health,Resistance Training,Abs,3
2022/1/27,Health,Resistance Training,Abs,6
2022/1/28,Health,Resistance Training,Abs,3
2022/1/29,Health,Resistance Training,Abs,3
2022/1/30,Health,Resistance Training,Abs,6
2022/1/31,Health,Resistance Training,Abs,4
2022/2/1,Health,Resistance Training,Abs,4
2022/2/2,Health,Resistance Training,Abs,4
2022/2/3,Health,Resistance Training,Abs,4
2022/2/4,Health,Resistance Training,Abs,4
2022/2/5,Health,Resistance Training,Abs,4
2022/2/6,Health,Resistance Training,Abs,4
2022/2/7,Health,Resistance Training,Abs,4
2022/2/8,Health,Resistance Training,Abs,4
2022/2/9,Health,Resistance Training,Abs,4
2022/2/10,Health,Resistance Training,Abs,4
2022/2/11,Health,Resistance Training,Abs,4
2022/2/12,Health,Resistance Training,Abs,4
2022/2/13,Health,Resistance Training,Abs,4
2022/2/14,Health,Resistance Training,Abs,4
2022/2/15,Health,Resistance Training,Abs,4
2022/2/16,Health,Resistance Training,Abs,4
2022/2/17,Health,Resistance Training,Abs,4
2022/2/18,Health,Resistance Training,Abs,4
2022/2/19,Health,Resistance Training,Abs,4
2022/2/20,Health,Resistance Training,Abs,4
2022/2/21,Health,Resistance Training,Abs,6
2022/2/22,Health,Resistance Training,Abs,5
2022/2/23,Health,Resistance Training,Abs,4
2022/2/24,Health,Resistance Training,Abs,4
2022/2/25,Health,Resistance Training,Abs,4
2022/2/26,Health,Resistance Training,Abs,4
2022/2/27,Health,Resistance Training,Abs,4
2022/2/28,Health,Resistance Training,Abs,4
2022/3/1,Health,Resistance Training,Abs,4
2022/3/2,Health,Resistance Training,Abs,4
2022/3/3,Health,Resistance Training,Abs,4
2022/3/4,Health,Resistance Training,Abs,4
2022/3/5,Health,Resistance Training,Abs,4
2022/3/6,Health,Resistance Training,Abs,5
2022/3/7,Health,Resistance Training,Abs,4
2022/3/8,Health,Resistance Training,Abs,4
2022/3/9,Health,Resistance Training,Abs,7
2022/3/10,Health,Resistance Training,Abs,5
2022/3/11,Health,Resistance Training,Abs,4
2022/3/12,Health,Resistance Training,Abs,4
2022/3/13,Health,Resistance Training,Abs,4
2022/3/14,Health,Resistance Training,Abs,4
2022/3/15,Health,Resistance Training,Abs,4
2022/3/16,Health,Resistance Training,Abs,4
2022/3/17,Health,Resistance Training,Abs,4
2022/3/18,Health,Resistance Training,Abs,4
2022/3/19,Health,Resistance Training,Abs,4
2022/3/20,Health,Resistance Training,Abs,4
2022/3/21,Health,Resistance Training,Abs,4
2022/3/22,Health,Resistance Training,Abs,4
2022/3/23,Health,Resistance Training,Abs,4
2022/3/24,Health,Resistance Training,Abs,4
2022/3/25,Health,Resistance Training,Abs,4
2022/3/26,Health,Resistance Training,Abs,4
2022/3/27,Health,Resistance Training,Abs,4
2022/3/28,Health,Resistance Training,Abs,4
2022/3/29,Health,Resistance Training,Abs,4
2022/3/30,Health,Resistance Training,Abs,4
2022/3/31,Health,Resistance Training,Abs,4
2022/4/1,Health,Resistance Training,Abs,4
2022/4/2,Health,Resistance Training,Abs,4
2022/4/3,Health,Resistance Training,Abs,4
2022/4/4,Health,Resistance Training,Abs,4
2022/4/5,Health,Resistance Training,Abs,4
2022/4/6,Health,Resistance Training,Abs,4
2022/4/7,Health,Resistance Training,Abs,4
2022/4/8,Health,Resistance Training,Abs,4
2022/4/9,Health,Resistance Training,Abs,4
2022/4/10,Health,Resistance Training,Abs,4
2022/4/11,Health,Resistance Training,Abs,6
2022/4/12,Health,Resistance Training,Abs,5
2022/4/13,Health,Resistance Training,Abs,5
2022/4/14,Health,Resistance Training,Abs,4
2022/4/15,Health,Resistance Training,Abs,4
2022/4/16,Health,Resistance Training,Abs,4
2022/4/17,Health,Resistance Training,Abs,4
2022/4/18,Health,Resistance Training,Abs,4
2022/4/19,Health,Resistance Training,Abs,4
2022/4/20,Health,Resistance Training,Abs,5
2022/4/21,Health,Resistance Training,Abs,4
2022/4/22,Health,Resistance Training,Abs,4
2022/4/23,Health,Resistance Training,Abs,4
2022/4/24,Health,Resistance Training,Abs,7
2022/4/25,Health,Resistance Training,Abs,4
2022/4/26,Health,Resistance Training,Abs,4
2022/4/27,Health,Resistance Training,Abs,6
2022/4/28,Health,Resistance Training,Abs,5
2022/4/29,Health,Resistance Training,Abs,4
2022/4/30,Health,Resistance Training,Abs,6
2022/5/1,Health,Resistance Training,Abs,4
2022/5/2,Health,Resistance Training,Abs,4
2022/5/3,Health,Resistance Training,Abs,4
